aar,afar
dra,dravidiennes (langues)
dsb,bas-sorabe
dua,douala
dum,néerlandais moyen (ca.1050-1350)
dut,"néerlandais, flamand"
dyu,dioula
dzo,dzongkha
efi,efik
egy,égyptien
eka,ekajuk
elx,élamite
eng,anglais
enm,anglais moyen (1100-1500)
epo,espéranto
est,estonien
ewe,éwé
ewo,éwondo
fan,fang
fao,féroïen
fat,fanti
fij,fidjien
fil,"filipino, pilipino"
fin,finnois
fiu,finno-ougriennes (langues)
fon,fon
fre,français
frm,français moyen (1400-1600)
fro,français ancien (842-ca.1400)
frr,frison septentrional
frs,frison oriental
fry,frison occidental
ful,peul
fur,frioulan
gaa,ga
gay,gayo
gba,gbaya
gem,germaniques (langues)
geo,géorgien
ger,allemand
gez,guèze
gil,kiribati
gla,"gaélique, gaélique écossais"
gle,irlandais
glg,galicien
glv,"mannois, manx"
gmh,"allemand (moyen haut, ca. 1050-1500)"
goh,"allemand (vieux Haut, ca. 750-1050)"
gon,gond
gor,gorontalo
got,gothique
grb,grebo
grc,grec ancien (jusqu'à 1453)
gre,grec moderne (après 1453)
grn,guarani
gsw,"alémanique, alsacien, suisse alémanique"
guj,"gujarati, goudjrati"
gwi,gwich'in
hai,haida
hat,"haïtien, créole haïtien"
hau,haoussa
haw,hawaïen
heb,hébreu
her,herero
hil,hiligaynon
him,"himachalis (langues), langues paharis occidentales"
hin,hindi
hit,hittite
hmn,hmong
hmo,hiri motu
hrv,croate
hsb,haut-sorabe
hun,hongrois
hup,hupa
iba,iban
ibo,igbo
ice,islandais
ido,ido
iii,yi de Sichuan
ijo,ijo (langues)
iku,inuktitut
ile,interlingue
ilo,ilocano
ina,interlingua (langue auxiliaire internationale)
inc,indo-aryennes (langues)
ind,indonésien
ine,indo-européennes (langues)
inh,ingouche
ipk,inupiaq
ira,iraniennes (langues)
iro,iroquoises (langues)
ita,italien
jav,javanais
jbo,lojban
jpn,japonais
jpr,judéo-persan
jrb,judéo-arabe
kaa,karakalpak
kab,kabyle
kac,"kachin, jingpho"
kal,groenlandais
kam,kamba
kan,kannada
kar,karen (langues)
kas,kashmiri
kau,kanouri
kaw,kawi
kaz,kazakh
kbd,kabardien
kha,khasi
khi,khoïsan (langues)
khm,khmer central
kho,"khotanais, sakan"
kik,kikuyu
kin,rwanda
kir,kirghiz
kmb,kimbundu
kok,konkani
kom,kom
kon,kongo
kor,coréen
kos,kosrae
kpe,kpellé
krc,karatchai balkar
krl,carélien
kro,krou (langues)
kru,kurukh
kua,"kuanyama, kwanyama"
kum,koumyk
kur,kurde
kut,kutenai
lad,"ladino, judéo-espagnol"
lah,lahnda
lam,lamba
lao,lao
lat,latin
lav,letton
lez,lezghien
lim,limbourgeois
lin,lingala
lit,lituanien
lol,mongo
loz,lozi
ltz,luxembourgeois
lua,luba-lulua
lub,luba-katanga
lug,ganda
lui,luiseno
lun,lunda
luo,luo (Kenya et Tanzanie)
lus,lushai
mac,macédonien
mad,madourais
mag,magahi
mah,marshall
mai,maithili
mak,makassar
mal,malayalam
man,mandingue
mao,maori
map,austronésiennes (langues)
mar,marathe
mas,massaï
may,malais
mdf,moksa
mdr,mandar
men,mendé
mga,irlandais moyen (900-1200)
mic,"micmac, mi'kmaq"
min,minangkabau
mis,langues non codées
mkh,môn-khmer (langues)
mlg,malgache
mlt,maltais
mnc,mandchou
mni,manipuri
mno,manobo (langues)
moh,mohawk
mon,mongol
mos,"moré, mossi"
mul,multilingue
mun,mounda (langues)
mus,muskogee
mwl,mirandais
mwr,marvari
myn,maya (langues)
myv,erza
nah,nahuatl (langues)
nai,nord-amérindiennes (langues)
nap,napolitain
nau,nauruan
nav,navaho
nbl,ndébélé du Sud
nde,ndébélé du Nord
ndo,ndonga
nds,"bas allemand, bas saxon"
nep,népalais
new,"nepal bhasa, newari"
nia,nias
nic,nigéro-kordofaniennes (langues)
niu,niué
nno,"norvégien nynorsk, nynorsk (norvégien)"
nob,norvégien bokmal
nog,"nogaï, nogay"
non,norrois (vieux)
nor,norvégien
nqo,n'ko
nso,"pedi, sepedi, sotho du nord"
nub,nubiennes (langues)
nwc,newari classique
nya,"nyanja, chewa, chichewa"
nym,nyamwezi
nyn,nyankolé
nyo,nyoro
nzi,nzema
oci,occitan (après 1500)
oji,ojibwa
ori,oriya
orm,"oromo, galla"
osa,osage
oss,ossète
ota,turc ottoman (1500-1928)
oto,otomi (langues)
paa,papoues (langues)
pag,pangasinan
pal,pahlavi
pam,pampangan
pan,pendjabi
pap,papiamento
pau,palau
peo,perse (vieux ca.600-400 av. J.-C.)
per,persan
phi,philippines (langues)
phn,phénicien
pli,pali
pol,polonais
pon,pohnpei
por,portugais
pra,prâkrit (langues)
pro,"occitan ancien, provençal ancien (jusqu'à 1500)"
pus,pachto
qaa,réservée à l'usage local
que,quechua
raj,rajasthani
rap,rapanui
rar,"rarotonga, maori des îles Cook"
roa,romanes (langues)
roh,romanche
rom,"romani, tsigane"
rum,"roumain, moldave"
run,rundi
rup,"aroumain, macédo-roumain"
rus,russe
sad,sandawe
sag,sango
sah,iakoute
sai,sud-amérindiennes (langues)
sal,salishennes (langues)
sam,samaritain
san,sanskrit
sas,sasak
sat,santal
scn,sicilien
sco,écossais
sel,selkoupe
sem,sémitiques (langues)
sga,irlandais ancien (jusqu'à 900)
sgn,langues des signes
shn,chan
sid,sidamo
sin,singhalais
sio,sioux (langues)
sit,sino-tibétaines (langues)
sla,slaves (langues)
slo,slovaque
slv,slovène
sma,sami du Sud
sme,sami du Nord
smi,sames (langues)
smj,sami de Lule
smn,sami d'Inari
smo,samoan
sms,sami skolt
sna,shona
snd,sindhi
snk,soninké
sog,sogdien
som,somali
son,songhai (langues)
sot,sotho du Sud
spa,"espagnol, castillan"
srd,sarde
srn,sranan tongo
srp,serbe
srr,sérère
ssa,nilo-sahariennes (langues)
ssw,swati
suk,sukuma
sun,soundanais
sus,soussou
sux,sumérien
swa,swahili
swe,suédois
syc,syriaque classique
syr,syriaque
tah,tahitien
tai,tai (langues)
tam,tamoul
tat,tatar
tel,télougou
tem,temne
ter,tereno
tet,tetum
tgk,tadjik
tgl,tagalog
tha,thaï
tib,tibétain
tig,tigré
tir,tigrigna
tiv,tiv
tkl,tokelau
tlh,klingon
tli,tlingit
tmh,tamacheq
tog,tonga (Nyasa)
ton,tongan (Iles Tonga)
tpi,tok pisin
tsi,tsimshian
tsn,tswana
tso,tsonga
tuk,turkmène
tum,tumbuka
tup,tupi (langues)
tur,turc
tut,altaïques (langues)
tvl,tuvalu
twi,twi
tyv,touva
udm,oudmourte
uga,ougaritique
uig,ouïgour
ukr,ukrainien
umb,umbundu
und,indéterminée
urd,ourdou
uzb,ouszbek
vai,vaï
ven,venda
vie,vietnamien
vol,volapük
vot,vote
wak,wakashanes (langues)
wal,"wolaitta, wolaytta"
war,waray
was,washo
wel,gallois
wen,sorabes (langues)
wln,wallon
wol,wolof
xal,"kalmouk, oïrat"
xho,xhosa
yao,yao
yap,yapois
yid,yiddish
yor,yoruba
ypk,yupik (langues)
zap,zapotèque
zbl,"Bliss, symboles Bliss"
zen,zenaga
zgh,amazighe standard marocain
zha,"zhuang, chuang"
znd,zandé (langues)
zul,zoulou
zun,zuni
zxx,"non applicable, pas de contenu linguistique"
zza,"dimili, dimli, kirdki, kirmanjki, zaza, zazaki"
